n,W,L,H
FF1A,9,14,6
FF4A,14,18,10
FF10A,21,25,15
FF12A,24,25,14
FF2A,11,14,10
FF6A,14,19,15
FF8A,19,21,15
S2405,11,14,10
S4233,10,14,6
S4540,14,18,10
TEST,14,15,11
