Handle,Title,Vendor,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Price,Variant SKU,Status,Image Src,Type,Metafield: custom.breadCrumbs [single_line_text_field],ID (Ref),Handle (Ref),Import Result,Import Comment
S-19089,S-19089,Arka,FALSE,Size,13x13x9,,,,,1.81,S-19089,draft,https://img.uline.com/is/image/uline/S-19089?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Misc Box Sizes",8.19256E+12,s-19089,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-4694,S-4694,Arka,FALSE,Size,13x13x10,,,,,1.88,S-4694,draft,https://img.uline.com/is/image/uline/S-4694?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Misc Box Sizes",8.19256E+12,s-4694,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-19836,S-19836,Arka,FALSE,Size,13x13x12,,,,,1.95,S-19836,draft,https://img.uline.com/is/image/uline/S-19836?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Misc Box Sizes",8.19256E+12,s-19836,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-4317,S-4317,Arka,FALSE,Size,13x13x13,,,,,1.41,S-4317,draft,https://img.uline.com/is/image/uline/S-4317?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Cube Boxes",8.19256E+12,s-4317,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-4444,S-4444,Arka,FALSE,Size,13x13x13,,,,,2.33,S-4444,draft,https://img.uline.com/is/image/uline/S-4444?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Multi-Depth Boxes",8.19256E+12,s-4444,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-15037,S-15037,Arka,FALSE,Size,13x13x13,,,,,3.58,S-15037,draft,https://img.uline.com/is/image/uline/S-15037?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Heavy Duty Boxes > 275 Lb. Test Double Wall Boxes",8.19256E+12,s-15037,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-4956,S-4956,Arka,FALSE,Size,13.25x10.25x9,,,,,1.61,S-4956,draft,https://img.uline.com/is/image/uline/S-4956?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Printers Boxes",8.19257E+12,s-4956,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-18392,S-18392,Arka,FALSE,Size,13x13x17,,,,,2.6,S-18392,draft,https://img.uline.com/is/image/uline/S-18392?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Misc Box Sizes",8.19257E+12,s-18392,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-11374,S-11374,Arka,FALSE,Size,13x13x15,,,,,2.43,S-11374,draft,https://img.uline.com/is/image/uline/S-11374?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Misc Box Sizes",8.19256E+12,s-11374,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
S-4895,S-4895,Arka,FALSE,Size,13.25x10.25x12,,,,,1.96,S-4895,draft,https://img.uline.com/is/image/uline/S-4895?$MediumRHD$,uline,"Home > All Products > Boxes, Corrugated > Corrugated Boxes (200# Test) > Multi-Depth Boxes",8.19257E+12,s-4895,OK,UPDATE: Found by Handle | Assuming MERGE for Variant Command | Assuming MERGE for Image Command | Variants updated by SKU: 1
