n,L,W,H,P,c
S-4957,24.0,15.0,10.0,0,3.0
S-16755,24.0,15.0,12.0,0,3.3
S-14277,24.0,15.0,15.0,0,3.56
S-4547,24.0,16.0,4.0,0,2.21
S-4504,24.0,16.0,6.0,0,2.76
S-4799,24.0,16.0,8.0,0,2.36
S-4800,24.0,16.0,10.0,0,3.19
S-4162,24.0,16.0,12.0,0,2.53
S-19817,24.0,16.0,13.0,0,3.56
S-4656,24.0,16.0,14.0,0,3.66
S-4218,24.0,16.0,16.0,0,2.75
S-16762,24.0,17.0,3.0,0,2.96
S-16756,24.0,17.0,12.0,0,3.63
S-4657,24.0,17.0,15.0,0,3.98
S-23991,24.0,18.0,3.0,0,2.99
S-4827,24.0,18.0,4.0,0,2.04
S-4416,24.0,18.0,6.0,0,2.85
S-10655,24.0,18.0,8.0,0,3.32
S-4658,24.0,18.0,10.0,0,3.67
S-4219,24.0,18.0,12.0,0,2.7
S-4906,24.0,18.0,14.0,0,4.2
S-23992,24.0,18.0,15.0,0,4.34
S-4698,24.0,18.0,16.0,0,4.48
S-4338,24.0,18.0,18.0,0,3.05
S-16763,24.0,20.0,4.0,0,3.42
S-4448,24.0,20.0,6.0,0,3.52
S-13325,24.0,20.0,8.0,0,4.06
S-4907,24.0,20.0,10.0,0,4.47
S-4220,24.0,20.0,12.0,0,4.72
S-4864,24.0,20.0,14.0,0,4.91
S-4739,24.0,20.0,16.0,0,5.1
S-4803,24.0,20.0,18.0,0,5.24
S-11379,24.0,20.0,20.0,0,5.2
S-21561,24.0,22.0,22.0,0,6.52
S-4450,24.0,24.0,4.0,0,2.7
S-4505,24.0,24.0,6.0,0,3.99
S-4548,24.0,24.0,7.0,0,4.18
S-11382,24.0,24.0,8.0,0,4.34
S-4908,24.0,24.0,10.0,0,4.5
S-4320,24.0,24.0,12.0,0,3.44
S-10656,24.0,24.0,14.0,0,5.32
S-4223,24.0,24.0,16.0,0,5.6
S-4474,24.0,24.0,18.0,0,5.87
S-4571,24.0,24.0,20.0,0,6.05
S-19824,24.0,24.0,22.0,0,6.39
S-4247,24.0,24.0,24.0,0,4.85
S-4661,25.0,16.0,16.0,0,4.01
S-4544,25.0,20.0,20.0,0,5.32
S-15043,25.0,25.0,12.0,0,5.64
S-4911,25.0,25.0,20.0,0,6.44
S-4699,25.0,25.0,25.0,0,6.51
S-22696,26.0,4.0,4.0,0,1.27
S-4938,26.0,6.0,6.0,0,1.44
S-14279,26.0,8.0,8.0,0,1.84
S-19826,26.0,10.0,4.0,0,1.85
S-4844,26.0,10.0,10.0,0,2.61
S-22697,26.0,12.0,10.0,0,3.02
S-4506,26.0,12.0,12.0,0,3.1
S-4662,26.0,13.0,8.0,0,3.09
S-21590,26.0,14.0,10.0,0,3.13
S-21060,26.0,14.0,12.0,0,3.4
S-4959,26.0,14.0,14.0,0,3.55
S-4303,26.0,15.0,5.0,0,3.52
S-4550,26.0,15.0,7.0,0,4.0
S-4804,26.0,15.0,12.0,0,4.22
S-12654,26.0,16.0,10.0,0,4.06
S-23989,26.0,16.0,12.0,0,4.24
S-4663,26.0,16.0,14.0,0,4.39
S-4629,26.0,16.0,16.0,0,4.47
S-18369,26.0,17.0,5.0,0,3.53
S-16780,26.0,18.0,10.0,0,4.11
S-4228,26.0,18.0,12.0,0,4.39
S-22698,26.0,18.0,14.0,0,4.47
S-4225,26.0,18.0,16.0,0,4.51
S-21061,26.0,18.0,18.0,0,4.83
S-4507,26.0,20.0,12.0,0,3.37
S-12655,26.0,20.0,18.0,0,4.93
S-4700,26.0,20.0,20.0,0,5.1
S-23990,26.0,22.0,10.0,0,4.7
S-18372,26.0,22.0,12.0,0,4.9
S-20538,26.0,24.0,24.0,0,8.38
S-15044,26.0,26.0,4.0,0,5.16
S-4664,26.0,26.0,6.0,0,5.33
S-16781,26.0,26.0,8.0,0,5.46
S-12656,26.0,26.0,10.0,0,5.76
S-4912,26.0,26.0,12.0,0,6.1
S-18373,26.0,26.0,14.0,0,6.25
S-14283,26.0,26.0,16.0,0,6.44
S-4963,26.0,26.0,20.0,0,6.82
S-4190,26.0,26.0,26.0,0,7.6
S-4828,27.0,14.0,9.0,0,4.21
S-4742,27.0,27.0,27.0,0,8.34
S-21037,28.0,4.0,4.0,0,1.42
S-4452,28.0,6.0,6.0,0,1.58
S-4913,28.0,8.0,8.0,0,1.92
S-18374,28.0,10.0,10.0,0,2.69
S-4946,28.0,12.0,6.0,0,2.6
S-16782,28.0,12.0,8.0,0,2.9
S-22659,28.0,12.0,10.0,0,3.07
S-4914,28.0,12.0,12.0,0,3.13
S-16783,28.0,14.0,14.0,0,4.21
S-23329,28.0,15.0,15.0,0,4.24
S-19828,28.0,16.0,5.0,0,3.63
S-4743,28.0,16.0,7.0,0,3.74
S-4915,28.0,16.0,10.0,0,4.01
S-4408,28.0,16.0,12.0,0,4.34
S-4508,28.0,16.0,14.0,0,4.51
S-4766,28.0,17.0,5.0,0,3.66
S-19829,28.0,18.0,6.0,0,3.74
S-18375,28.0,18.0,8.0,0,4.05
S-20539,28.0,18.0,10.0,0,4.37
S-11383,28.0,18.0,12.0,0,4.66
S-4758,28.0,18.0,18.0,0,4.66
S-22183,28.0,20.0,10.0,0,4.7
S-12611,28.0,20.0,12.0,0,4.84
S-16740,28.0,20.0,20.0,0,5.84
S-4459,28.0,24.0,6.0,0,5.02
S-22660,28.0,24.0,12.0,0,5.35
S-16785,28.0,24.0,20.0,0,6.66
S-19825,28.0,24.0,24.0,0,8.69
S-4829,28.0,28.0,6.0,0,5.75
S-20543,28.0,28.0,8.0,0,5.98
S-19086,28.0,28.0,10.0,0,6.24
S-4666,28.0,28.0,12.0,0,6.31
S-4866,28.0,28.0,20.0,0,7.85
S-19830,28.0,28.0,22.0,0,8.18
S-4433,28.0,28.0,28.0,0,9.15
S-4134,29.0,6.0,6.0,0,1.97
S-14300,29.0,24.0,24.0,0,8.19
S-17999,30.0,3.0,3.0,0,3.1
S-4578,30.0,4.0,4.0,0,1.71
S-4744,30.0,6.0,6.0,0,1.81
S-18377,30.0,8.0,8.0,0,2.04
S-4599,30.0,9.0,9.0,0,2.5
S-4939,30.0,10.0,10.0,0,2.29
S-18378,30.0,12.0,4.0,0,2.99
S-21051,30.0,12.0,6.0,0,3.01
S-16774,30.0,12.0,12.0,0,3.14
S-13329,30.0,13.0,13.0,0,3.49
S-4809,30.0,14.0,7.0,0,2.85
S-4403,30.0,14.0,10.0,0,3.32
S-13301,30.0,14.0,14.0,0,3.56
S-4412,30.0,15.0,15.0,0,3.88
S-19081,30.0,16.0,16.0,0,4.86
S-4404,30.0,17.0,16.0,0,4.63
S-21052,30.0,18.0,16.0,0,5.14
S-15045,30.0,18.0,18.0,0,5.23
S-23995,30.0,20.0,4.0,0,3.46
S-11386,30.0,20.0,6.0,0,3.53
S-19091,30.0,20.0,8.0,0,3.82
S-4667,30.0,20.0,10.0,0,4.05
S-4928,30.0,20.0,12.0,0,4.32
S-15081,30.0,20.0,18.0,0,5.94
S-20494,30.0,20.0,20.0,0,6.08
S-13323,30.0,22.0,22.0,0,7.11
S-22695,30.0,24.0,6.0,0,5.2
S-13330,30.0,24.0,10.0,0,5.28
S-4417,30.0,24.0,12.0,0,5.55
S-4961,30.0,24.0,20.0,0,6.91
S-4572,30.0,24.0,24.0,0,9.01
S-16775,30.0,26.0,24.0,0,8.61
S-14301,30.0,30.0,6.0,0,6.56
S-4845,30.0,30.0,8.0,0,6.82
S-15082,30.0,30.0,10.0,0,7.0
S-10661,30.0,30.0,12.0,0,7.2
S-4668,30.0,30.0,16.0,0,7.59
S-16776,30.0,30.0,20.0,0,8.94
S-4745,30.0,30.0,25.0,0,9.1
S-12610,31.0,13.0,13.0,0,4.98
S-4746,31.0,16.0,9.0,0,4.34
S-19813,32.0,4.0,4.0,0,1.75
S-4669,32.0,6.0,6.0,0,2.04
S-4810,32.0,8.0,8.0,0,2.1
S-4304,32.0,10.0,6.5,0,2.11
S-18379,32.0,10.0,10.0,0,2.72
S-19092,32.0,12.0,10.0,0,3.13
S-4868,32.0,12.0,12.0,0,3.34
S-16777,32.0,16.0,16.0,0,4.68
S-19827,32.0,18.0,8.0,0,4.09
S-10662,32.0,18.0,12.0,0,4.21
S-18380,32.0,18.0,18.0,0,5.82
S-15083,32.0,24.0,24.0,0,8.63
S-20544,32.0,32.0,8.0,0,8.59
S-16778,32.0,32.0,12.0,0,8.94
S-14258,33.0,8.5,5.0,0,2.17
S-4670,34.0,10.0,6.0,0,2.36
S-22662,34.0,18.0,18.0,0,5.95
S-4846,34.0,21.0,6.0,0,5.13
S-4132,36.0,4.0,4.0,0,1.16
S-11368,36.0,5.0,5.0,0,1.79
S-4135,36.0,6.0,6.0,0,1.49
S-18427,36.0,8.0,4.0,0,2.04
S-4361,36.0,8.0,8.0,0,2.21
S-21010,36.0,9.0,9.0,0,2.68
S-18428,36.0,10.0,6.0,0,2.54
S-4672,36.0,10.0,10.0,0,2.61
S-4830,36.0,12.0,4.0,0,3.41
S-14302,36.0,12.0,6.0,0,3.56
S-21566,36.0,12.0,8.0,0,3.63
S-4673,36.0,12.0,10.0,0,3.67
S-4418,36.0,12.0,12.0,0,2.58
S-21567,36.0,14.0,6.0,0,3.67
S-4232,36.0,14.0,10.0,0,3.74
S-4532,36.0,14.0,14.0,0,4.07
S-15051,36.0,15.0,15.0,0,4.79
S-16779,36.0,16.0,5.0,0,3.64
S-22699,36.0,16.0,7.0,0,3.97
S-4405,36.0,16.0,16.0,0,5.05
S-15084,36.0,18.0,6.0,0,4.32
S-4702,36.0,18.0,12.0,0,4.79
S-4638,36.0,18.0,18.0,0,6.18
S-4569,36.0,20.0,20.0,0,6.94
S-4965,36.0,21.0,10.0,0,6.65
S-4368,36.0,21.0,20.0,0,7.17
S-4652,36.0,22.0,22.0,0,7.72
S-4747,36.0,24.0,4.0,0,5.93
S-4811,36.0,24.0,6.0,0,6.2
S-4917,36.0,24.0,8.0,0,6.51
S-19194,36.0,24.0,10.0,0,6.65
S-4454,36.0,24.0,12.0,0,6.77
S-16765,36.0,24.0,18.0,0,7.37
S-4192,36.0,24.0,20.0,0,7.51
S-4659,36.0,24.0,24.0,0,9.21
S-19870,36.0,30.0,12.0,0,8.81
S-19814,38.0,4.0,4.0,0,1.85
S-4583,38.0,6.0,6.0,0,2.32
S-21008,38.0,8.0,8.0,0,3.0
S-4753,38.0,10.0,10.0,0,2.95
S-4511,40.0,4.0,4.0,0,1.94
S-22167,40.0,5.0,5.0,0,2.05
S-4342,40.0,6.0,6.0,0,2.44
S-4748,40.0,8.0,8.0,0,3.2
S-16714,40.0,10.0,10.0,0,3.94
S-4618,40.0,12.0,12.0,0,4.32
S-11375,40.0,14.0,14.0,0,4.36
S-12772,40.0,18.0,8.0,0,5.46
S-23336,40.0,20.0,10.0,0,6.51
S-19048,40.0,20.0,20.0,0,7.73
S-23337,40.0,24.0,12.0,0,8.27
S-17998,42.0,4.0,4.0,0,4.72
S-22631,42.0,6.0,6.0,0,2.78
S-16704,42.0,8.0,8.0,0,3.66
S-4847,42.0,11.0,6.0,0,4.38
S-16769,44.0,12.0,12.0,0,4.69
S-22166,46.0,4.0,4.0,0,2.2
S-16770,46.0,20.0,12.0,0,7.25
S-4465,48.0,4.0,4.0,0,1.62
S-19815,48.0,5.0,5.0,0,2.6
S-4381,48.0,6.0,6.0,0,2.14
S-23949,48.0,7.0,7.0,0,3.67
S-4557,48.0,8.0,8.0,0,2.84
S-21585,48.0,9.0,9.0,0,3.94
S-10666,48.0,10.0,10.0,0,4.56
S-19096,48.0,12.0,6.0,0,4.5
S-4525,48.0,12.0,12.0,0,3.49
S-12596,48.0,14.0,14.0,0,5.05
S-4720,48.0,15.0,15.0,0,5.49
S-16752,48.0,16.0,16.0,0,6.44
S-11377,48.0,18.0,18.0,0,6.97
S-4822,48.0,20.0,20.0,0,8.44
S-19831,48.0,24.0,8.0,0,9.46
S-4848,48.0,24.0,12.0,0,9.21
S-21584,50.0,4.0,4.0,0,2.67
S-4242,50.0,5.0,5.0,0,2.69
S-20480,50.0,6.0,6.0,0,3.57
S-21009,50.0,8.0,8.0,0,4.41
S-18335,50.0,12.0,12.0,0,5.14
S-12650,52.0,4.0,4.0,0,3.14
S-10659,52.0,6.0,6.0,0,8.64
S-4713,52.0,12.0,12.0,0,5.24
S-4555,60.0,4.0,4.0,0,3.14
S-13284,60.0,5.0,5.0,0,3.74
S-21568,60.0,6.0,6.0,0,3.74
S-20536,60.0,8.0,8.0,0,4.95
S-13288,60.0,10.0,10.0,0,6.14
S-4692,60.0,12.0,12.0,0,7.1
S-4136,62.0,6.0,6.0,0,4.47
S-18236,72.0,4.0,4.0,0,8.25
S-4689,72.0,6.0,6.0,0,5.55
S-19863,72.0,8.0,8.0,0,6.66
S-18384,72.0,10.0,10.0,0,7.72
S-4693,72.0,12.0,12.0,0,7.86
S-4241,74.0,4.0,4.0,0,3.77
