n,W,L,H
HE2-B12-070,6,7.8,3.61
HV8-B72-070,5.7,7.8,3.81
FP8-A34-060,5.91,7.68,3.74
FP8-A40-070,5.91,7.68,3.74
GI9-001-060,5.91,7.68,3.74
FP8-A34-070,5.91,7.68,3.74
GI9-011-080,5.91,7.68,3.74
FP8-001-080,5.91,7.68,3.74
GI9-011-060,5.91,7.68,3.74
FP8-A26-060,5.91,7.68,3.74
FP8-A26-080,5.91,7.68,3.74
GI9-001-080,5.91,7.68,3.74
FP8-A34-080,5.91,7.68,3.74
GI9-001-070,5.91,7.68,3.74
GI9-011-070,5.91,7.68,3.74
FP8-A40-060,5.91,7.68,3.74
FP8-A40-080,5.91,7.68,3.74
FP8-A26-070,5.91,7.68,3.74
HV8-B72-080,6,7.7,3.81
HV8-B72-060,6,7.7,3.81
HV8-B53-070,6,7.7,3.81
GG8-399-007,8.5,10.5,2.01
HV7-B53-100,4.8,8.7,4.31
HC6-B18-010,6,7.5,4.01
HC7-A90-100,6,7.5,4.01
GG8-399-003,9,10,2.01
DG5-288-030,4.33,10.24,4.13
DG5-C44-030,4.33,10.24,4.13
JC8-C53-040,4.33,10.24,4.13
R08-368-040,4.33,10.24,4.13
R08-C42-030,4.33,10.24,4.13
E54-011-030,4.33,10.24,4.13
E54-011-040,4.33,10.24,4.13
E54-011-020,4.33,10.24,4.13
DG5-A45-030,4.33,10.24,4.13
E54-090-030,4.33,10.24,4.13
DG5-B12-030,4.33,10.24,4.13
DG5-B12-040,4.33,10.24,4.13
R08-001-030,4.33,10.24,4.13
E54-399-030,4.33,10.24,4.13
HI5-B04-040,4.33,10.24,4.13
R08-399-040,4.33,10.24,4.13
JB2-C31-030,4.33,10.24,4.13
DG5-C99-040,4.33,10.24,4.13
E54-194-040,4.33,10.24,4.13
DG5-137-040,4.33,10.24,4.13
DG5-C99-030,4.33,10.24,4.13
R08-399-030,4.33,10.24,4.13
HU8-B11-040,4.33,10.24,4.13
IJ6-B58-030,4.33,10.24,4.13
JB2-C30-030,4.33,10.24,4.13
DG5-288-040,4.33,10.24,4.13
JC8-090-040,4.33,10.24,4.13
JC8-C53-030,4.33,10.24,4.13
E54-012-040,4.33,10.24,4.13
HI5-B04-030,4.33,10.24,4.13
JC8-A20-030,4.33,10.24,4.13
E54-C29-030,4.33,10.24,4.13
R08-B09-030,4.33,10.24,4.13
DG5-137-030,4.33,10.24,4.13
E54-194-030,4.33,10.24,4.13
DG5-399-030,4.33,10.24,4.13
JC8-090-030,4.33,10.24,4.13
R08-194-040,4.33,10.24,4.13
E54-137-030,4.33,10.24,4.13
E54-010-030,4.33,10.24,4.13
DG5-A32-040,4.33,10.24,4.13
E54-090-040,4.33,10.24,4.13
E54-010-040,4.33,10.24,4.13
E54-012-030,4.33,10.24,4.13
JC8-C34-030,4.33,10.24,4.13
E54-A45-040,4.33,10.24,4.13
DG5-399-040,4.33,10.24,4.13
E54-137-040,4.33,10.24,4.13
E54-399-040,4.33,10.24,4.13
JC8-A20-040,4.33,10.24,4.13
R08-194-030,4.33,10.24,4.13
JC8-C34-040,4.33,10.24,4.13
R08-001-040,4.33,10.24,4.13
HE2-B09-060,6,7.8,4.01
HE2-B09-080,6,7.8,4.01
HE2-B09-070,6,7.8,4.01
HE2-B12-080,6,7.8,4.01
HE2-B12-060,6,7.8,4.01
E54-C88-040,4.31,10.3,4.3
E2T-D20-040,4.31,10.3,4.3
E2T-D20-050,4.31,10.3,4.3
E2T-D20-060,4.31,10.3,4.3
E54-C88-050,4.31,10.3,4.3
HE2-B12-100,6,8,4.01
HC7-A90-090,6,8,4.01
HE1-B09-090,6,8,4.01
HE1-B09-100,6,8,4.01
HE1-B12-100,6,8,4.01
HE2-B12-090,6,8,4.01
HE1-B12-090,6,8,4.01
HE2-B09-090,6,8.1,4.01
HE2-B09-100,6,8.1,4.01
FP8-A26-100,5.91,8.07,4.13
FP6-A26-090,5.91,8.07,4.13
FP6-A26-100,5.91,8.07,4.13
GI9-001-100,5.91,8.07,4.13
GI8-323-090,5.91,8.07,4.13
FP6-A40-100,5.91,8.07,4.13
GI8-323-100,5.91,8.07,4.13
GI9-011-100,5.91,8.07,4.13
FP8-A34-100,5.91,8.07,4.13
FP6-001-090,5.91,8.07,4.13
FP6-694-100,5.91,8.07,4.13
GI8-011-090,5.91,8.07,4.13
FP8-A34-090,5.91,8.07,4.13
FP6-A40-090,5.91,8.07,4.13
FP8-001-100,5.91,8.07,4.13
FP8-A40-090,5.91,8.07,4.13
FP8-A40-100,5.91,8.07,4.13
FP8-A26-090,5.91,8.07,4.13
FP6-A34-090,5.91,8.07,4.13
GI8-011-100,5.91,8.07,4.13
FP6-A34-100,5.91,8.07,4.13
GI9-011-090,5.91,8.07,4.13
GI9-001-090,5.91,8.07,4.13
GI9-323-100,5.91,8.07,4.13
FP6-694-090,5.91,8.07,4.13
HV8-B53-100,6,8,4.11
HV7-B53-090,6,8,4.11
HV7-B72-100,6,8,4.11
HV8-B53-090,6,8,4.11
HV8-B72-090,6,8,4.11
IK1-001-040,9,13,1.81
IK2-A20-060,9,13,1.81
IK1-A20-060,9,13,1.81
IK2-A20-070,9,13,1.81
IK2-001-050,9,13,1.81
IK2-A20-090,9,13,1.81
IK1-A20-040,9,13,1.81
IF3-C01-060,9,13,1.81
IF3-C01-030,9,13,1.81
IF2-B77-060,9,13,1.81
IK2-A20-080,9,13,1.81
IK1-001-070,9,13,1.81
IK1-A20-070,9,13,1.81
IK1-A20-080,9,13,1.81
HX5-001-060,9,13,1.81
IK2-A20-050,9,13,1.81
IK2-A20-040,9,13,1.81
IK2-001-090,9,13,1.81
IK2-001-070,9,13,1.81
IK1-A20-090,9,13,1.81
IK1-001-090,9,13,1.81
IK1-001-080,9,13,1.81
HF1-B14-030,4.6,11.42,4.05
HT2-011-050,4.6,11.4,4.06
HT2-011-040,4.6,11.4,4.06
HT2-011-080,4.6,11.4,4.06
HT2-011-030,4.6,11.4,4.06
HT2-011-090,4.6,11.4,4.06
HT2-011-060,4.6,11.4,4.06
HT2-011-070,4.6,11.4,4.06
HF1-B14-090,4.6,11.42,4.06
HF1-B14-080,4.6,11.42,4.06
HF1-B14-060,4.6,11.42,4.06
